kzt;usd;tyr
0,212867;29,0218;21,3325
0,212587;29,0256;21,4025
0,212509;29,0242;21,3812
0,212817;29,0274;21,4056
0,213679;29,0471;21,347
0,213649;29,0388;21,2383
0,213756;29,0409;21,2352
0,214057;29,0356;21,3418
0,214403;29,0402;21,3466
0,214811;29,0639;21,4071
0,214987;29,1019;21,4757
0,215147;29,11;21,4917
0,21531;29,1332;21,4615
0,215059;29,1248;21,5251
0,214878;29,1037;21,479
0,214869;29,077;21,4885
0,214825;29,0908;21,5692
0,214898;29,0805;21,3864
0,21499;29,0815;21,322
0,214994;29,0882;21,345
0,215108;29,0891;21,3564
0,214884;29,083;21,5294
0,214234;29,0928;21,5486
0,213836;29,0832;21,6371
0,213274;29,0871;21,6287
0,213298;29,0891;21,629
0,213478;29,1019;21,5608
0,213789;29,1405;21,477
0,214098;29,1829;21,3859
0,21379;29,1764;21,4936
0,213751;29,1761;21,4018
0,213843;29,1907;21,2076
0,215461;29,2491;20,7695
0,21605;29,2381;21,1115
0,21617;29,2519;20,9669
0,216208;29,276;20,8287
0,216153;29,2579;20,6799
0,215882;29,2229;20,7817
0,214294;29,2152;20,9768
0,214415;29,2176;20,9333
0,21403;29,2325;20,6511
0,213946;29,2199;20,9195
0,214094;29,2178;20,9402
0,214288;29,2208;20,989
0,214065;29,2225;20,9053
0,214032;29,2226;21,1783
0,213884;29,2289;20,9968
0,214045;29,2447;21,0666
0,214521;29,2591;21,0607
0,215554;29,2552;21,1089
0,215117;29,2322;21,1182
0,215023;29,2307;21,21
0,214809;29,2183;21,1616
0,214901;29,2187;21,2229
0,215248;29,2239;21,0371
0,215313;29,2173;21,0615
0,215163;29,2166;21,1135
0,2153;29,2151;21,1271
0,215777;29,2162;21,1989
0,215825;29,2151;21,1013
0,216011;29,2187;21,1644
0,216236;29,2214;21,139
0,215962;29,2154;21,1454
0,216184;29,2165;21,1457
0,216294;29,2172;21,1696
0,216592;29,2146;21,1025
0,216635;29,2151;21,1369
0,216916;29,2164;21,0856
0,216873;29,215;21,4394
0,217297;29,2171;21,1186
0,217488;29,2224;21,002
0,2175;29,2175;20,9017
0,217477;29,2159;21,1208
0,217363;29,219;21,1136
0,217611;29,2215;21,1567
0,217705;29,2204;20,9516
0,218187;29,2218;20,8734
0,217892;29,1272;20,9619
0,217924;29,1152;20,9888
0,218413;29,1199;20,9205
0,218954;29,1154;20,9454
0,219031;29,1151;20,8668
0,219092;29,1191;21,0245
0,218907;29,1175;20,9757
0,219443;29,115;21,0294
0,21951;29,1154;20,9715
0,218835;28,9989;21,0084
0,218086;28,8673;21,0899
0,217522;28,7709;21,1884
0,217704;28,7674;21,1629
0,217863;28,7783;21,1938
0,217885;28,7655;21,1388
0,218149;28,7651;21,1119
0,218513;28,7778;21,1737
0,218798;28,7811;21,1274
0,218967;28,765;21,149
0,218409;28,668;21,2026
0,218529;28,6502;21,1203
0,218919;28,6718;21,1624
0,219242;28,6889;21,2324
0,218943;28,6651;21,2476
0,219426;28,6696;21,0186
0,219841;28,6882;21,0759
0,219756;28,6687;21,1226
0,219149;28,5387;21,1176
0,219399;28,5455;21,1688
0,219488;28,5208;21,15
0,21948;28,5217;21,182
0,218309;28,4144;21,2001
0,217917;28,3205;21,2116
0,217477;28,2659;21,2819
0,217077;28,2367;21,3141
0,216452;28,1496;21,2747
0,215442;28,0161;21,3162
0,215352;27,9951;21,3323
0,214771;27,9271;21,3003
0,214065;27,8402;21,2497
0,214223;27,8741;21,2535
0,214619;27,9772;21,2935
0,215399;28,0293;21,2907
0,216228;28,1243;21,2397
0,215168;27,9955;21,1678
0,215136;27,9103;21,2018
0,214592;27,8372;21,2665
0,214797;27,8821;21,2684
0,214758;27,8917;21,2712
0,214515;27,8887;21,3298
0,214134;27,8389;21,3385
0,214172;27,8341;21,3021
0,213987;27,8251;21,3101
0,213686;27,7796;21,3125
0,213643;27,775;21,295
0,213394;27,7487;21,1537
0,213421;27,7487;21,1915
0,213438;27,7487;21,2413
0,213438;27,7487;21,1357
0,215025;27,9549;21,2076
0,214442;27,88;21,1211
0,21437;27,8677;21,1407
0,21504;27,9469;21,16
0,215162;27,9668;21,0753
0,216259;28,1129;21,1244
0,216558;28,1573;21,0697
0,216527;28,1594;21,0934
0,216461;28,1569;21,1024
0,215174;28,0157;21,1593
0,214639;27,9804;21,1826
0,21527;28,1017;21,2107
0,214551;28,0025;21,2195
0,215678;28,0845;21,1749
0,216228;28,1136;21,2292
0,21509;27,9656;21,228
0,214964;27,9665;21,1876
0,215327;28,0104;21,1925
0,215322;27,9833;21,2339
0,216656;28,1237;21,183
0,216593;28,1872;21,1674
0,216286;28,133;21,1946
0,216046;28,0853;21,1404
0,215886;28,0688;21,2167
0,214983;28,0306;21,3544
0,214608;28,0207;21,3567
0,214309;28,0016;21,198
0,214989;27,9998;21,2973
0,214748;27,9359;21,2886
0,214668;27,9365;21,3832
0,213943;27,8312;21,3114
0,213109;27,745;21,3953
0,213344;27,7738;21,4273
0,212837;27,7007;21,3157
0,212833;27,7091;21,216
0,212372;27,699;20,7561
0,212709;27,7245;20,8252
0,213268;27,7518;20,8547
0,212637;27,6698;20,7817
0,212107;27,5562;20,8096
0,21133;27,4637;20,8524
0,211372;27,4629;20,9315
0,211557;27,477;20,7047
0,211376;27,4902;20,6198
0,210727;27,489;20,4938
0,210685;27,4611;20,6761
0,210859;27,4827;20,6427
0,211139;27,5442;20,6031
0,211416;27,5764;20,5029
0,211738;27,6381;20,3396
0,211878;27,697;20,4966
0,211555;27,7112;20,503
0,210212;27,8198;20,6113
0,210185;27,8313;20,658
0,21068;27,8256;20,5904
0,210235;27,8548;20,5933
0,210386;27,8831;20,6028
0,211198;27,8926;20,5935
0,213083;27,9394;20,6565
0,212127;27,8739;20,6052
0,211737;27,8085;20,6013
0,212589;27,8789;20,443
0,21239;27,7933;20,4693
0,212438;27,765;20,4659
0,212714;27,7907;20,6039
0,213351;27,8291;20,6051
0,213959;27,9031;20,6373
0,212797;27,8222;20,6808
0,211362;27,7543;20,7196
0,211341;27,7241;20,6499
0,211091;27,7074;20,6351
0,210752;27,7304;20,6386
0,20953;27,7463;20,5525
0,210144;27,7586;20,5797
0,211602;27,8055;20,5502
0,210853;27,794;20,5576
0,211391;27,7726;20,5292
0,211697;27,8364;19,9674
0,211994;27,7896;19,9378
0,211993;27,7845;19,4395
0,212979;27,7852;18,5903
0,212738;27,816;18,2574
0,212121;27,8677;18,7984
0,212178;27,9237;17,9069
0,212944;28,0223;17,9632
0,21383;27,9929;18,0643
0,214687;28,0055;17,5701
0,213923;27,9608;17,4414
0,213463;27,9719;17,6144
0,21298;28,0619;17,8448
0,212756;28,0327;17,7244
0,212429;28,0367;17,4654
0,212197;28,0638;17,2996
0,212034;28,0813;17,2276
0,211756;28,0919;17,5158
0,21324;28,1946;16,7981
0,215124;28,2885;16,909
0,215122;28,375;17,2666
0,214183;28,3761;17,5515
0,215534;28,429;17,4695
0,214954;28,4133;16,8745
0,21408;28,3766;17,0053
0,214401;28,4457;16,8981
0,212335;28,4671;16,9836
0,213247;28,5658;16,9198
0,214356;28,6237;16,7306
0,214312;28,6024;16,5592
0,21324;28,5841;16,3974
0,211459;28,4765;16,0243
0,211049;28,5497;16,1678
0,210174;28,5528;16,1974
0,210707;28,6193;16,4555
0,212032;28,6787;16,8453
0,211389;28,5802;16,9342
0,211464;28,584;16,9495
0,212095;28,6721;17,4397
0,21209;28,6282;17,2264
0,21211;28,6794;16,7202
0,212424;28,8005;17,1855
0,2124;28,8333;17,1548
0,212174;28,8185;17,3405
0,212597;28,831;17,3784
0,213244;28,8374;17,0643
0,211797;28,7154;16,8309
0,210612;28,5938;16,8667
0,210264;28,5678;17,004
0,211735;28,6679;17,1562
0,210955;28,6269;17,3424
0,211151;28,6726;17,2625
0,211067;28,7252;17,28
0,210991;28,6744;17,4666
0,210752;28,6012;17,5473
0,210564;28,5792;17,6541
0,211379;28,6898;17,8847
0,2114;28,6888;17,9757
0,211616;28,7304;17,8172
0,211273;28,6817;17,7222
0,210728;28,6341;17,8574
0,210407;28,595;17,931
0,210341;28,5826;18,0746
0,21068;28,604;18,2552
0,210325;28,4854;18,2271
0,209609;28,4171;18,4084
0,209431;28,4355;18,4144
0,209334;28,3791;18,4196
0,209489;28,3931;18,1985
0,209871;28,3788;18,4058
0,209467;28,3122;18,5444
0,209997;28,3815;18,4771
0,209953;28,4161;18,2848
0,210166;28,473;18,367
0,210042;28,4936;18,2298
0,211179;28,6003;18,0501
0,211044;28,5852;18,0957
0,210689;28,5494;17,9646
0,210919;28,5844;18,1074
0,210386;28,4572;18,1212
0,210223;28,4505;18,2081
0,210256;28,4368;18,2249
0,211069;28,545;18,2716
0,211038;28,5566;18,3665
0,210364;28,4637;18,3309
0,20966;28,3037;18,1311
0,208991;28,1977;18,181
0,210144;28,2108;17,9963
0,209945;28,2015;18,0799
0,210427;28,2562;18,2237
0,211128;28,2517;18,2075
0,211645;28,3566;18,0856
0,211814;28,3856;18,2532
0,211174;28,316;18,2491
0,211775;28,3698;18,1924
0,211124;28,3026;18,1597
0,212129;28,4582;17,4436
0,211936;28,4065;17,59
0,211829;28,3812;17,5485
0,211794;28,3603;17,7859
0,212219;28,432;17,8689
0,212857;28,5463;17,8295
0,213193;28,5678;17,7097
0,213196;28,5366;17,8164
0,212964;28,4989;17,5926
0,213347;28,5348;17,8298
0,214008;28,6132;17,8735
0,214343;28,643;17,9041
0,214219;28,6157;17,9081
0,213548;28,5207;18,0776
0,21302;28,4577;18,0454
0,2131;28,4708;18,2834
0,213494;28,5562;18,3089
0,213963;28,625;18,2304
0,213362;28,599;18,1645
0,213504;28,5861;18,3357
0,212891;28,5291;18,3534
0,213251;28,614;18,3634
0,214009;28,6715;18,178
0,213777;28,6219;18,3135
0,213718;28,5666;18,3771
0,214044;28,6248;18,5003
0,213908;28,6087;18,4023
0,21273;28,4633;18,3056
0,212611;28,4793;18,2947
0,212217;28,4244;18,2566
0,212574;28,503;18,1267
0,213746;28,581;18,5439
0,213542;28,5805;18,3283
0,213353;28,5544;18,3619
0,214627;28,7593;18,2889
0,214543;28,8389;18,3266
0,214529;28,828;18,3483
0,214687;28,8135;18,351
0,215058;28,879;18,4464
0,214879;28,825;18,4188
0,214897;28,8503;18,322
0,21488;28,838;18,3573
0,215252;28,876;18,1902
0,215243;28,8436;17,9736
0,214903;28,7745;17,8465
0,215215;28,8108;17,9487
0,214573;28,7267;17,6729
0,214554;28,741;17,8163
0,214717;28,7896;17,9577
0,215312;28,8698;18,045
0,214305;28,7312;17,9368
0,214631;28,7792;18,0579
0,215013;28,816;18,0858
0,216434;28,9646;18,1887
0,216469;28,9978;18,2826
0,215627;28,9123;18,2496
0,215762;28,9261;18,4416
0,216179;28,9799;18,3385
0,215786;28,9258;18,4571
0,215405;28,8571;18,4771
0,214376;28,7135;18,4405
0,214221;28,661;18,3726
0,214595;28,6892;18,3171
0,214335;28,6523;18,3609
0,214094;28,64;18,3875
0,214485;28,6649;18,4028
0,215396;28,7629;18,4529
0,216076;28,84;18,4559
0,215588;28,7799;18,4726
0,215527;28,8059;18,6217
0,215457;28,8177;18,436
0,214871;28,7472;18,2562
0,215006;28,79;18,374
0,215337;28,7825;18,4691
0,212913;28,4821;18,5766
0,21292;28,4834;18,6041
0,212634;28,3966;18,5119
0,213246;28,474;18,5945
0,212123;28,3007;18,6148
0,212288;28,2697;18,7563
0,212621;28,3023;18,725
0,212626;28,2863;18,6798
0,21297;28,2909;18,6764
0,211436;28,0512;18,4812
0,21148;27,9898;18,5061
0,211501;27,9805;18,5352
0,211925;27,9698;18,6435
0,212185;28,024;18,786
0,212788;28,1207;18,8202
0,213002;28,1305;18,8482
0,213323;28,1042;18,9133
0,214121;28,1901;18,8909
0,214028;28,1732;18,7461
0,214347;28,2349;18,7525
0,213893;28,2524;18,6686
0,213734;28,2642;18,6336
0,214345;28,2496;18,7766
0,214794;28,2411;18,8376
0,214705;28,2369;18,807
0,214689;28,1844;18,8855
0,215;28,1994;18,9829
0,21537;28,2225;18,9078
0,215472;28,2182;18,9512
0,21507;28,1451;18,9248
0,21551;28,1908;18,8336
0,215193;28,1827;18,209
0,216131;28,155;18,3802
0,2158;28,1223;18,4389
0,215807;28,1211;17,9799
0,215214;28,0245;18,2308
0,215657;28,0279;18,3143
0,215272;27,9305;18,4438
0,215278;27,881;18,6608
0,216249;27,9945;18,5462
0,216461;28;18,216
0,216943;28,0203;18,5188
0,217076;28,0079;18,48
0,217497;27,9929;18,4957
0,216839;27,8432;18,6143
0,217002;27,8171;18,5874
0,216597;27,7028;18,7448
0,217123;27,6615;18,7534
0,21739;27,7027;18,7672
0,217592;27,7383;18,6817
0,217874;27,768;18,5948
0,218032;27,847;18,6272
0,217033;27,773;18,6863
0,217372;27,8019;18,6409
0,216905;27,8043;18,6908
0,216133;27,7626;18,9269
0,215729;27,6996;18,9341
0,216219;27,7737;18,9595
0,215413;27,6921;18,9392
0,214099;27,5602;18,8516
0,213284;27,5332;18,8632
0,214149;27,6077;18,7834
0,215139;27,7085;18,7572
0,214977;27,6797;18,8296
0,215066;27,6625;18,9841
0,215762;27,6985;19,1001
0,216413;27,7002;18,9733
0,21687;27,6336;19,0548
0,217867;27,5675;19,1708
0,219066;27,465;19,1857
0,221089;27,4666;19,1324
0,223505;27,5198;19,3183
0,222151;27,4331;19,2411
0,221141;27,4244;19,2614
0,220889;27,3921;18,9804
0,220597;27,3621;18,9461
0,21917;27,2739;18,9758
0,218976;27,2424;19,1197
0,218375;27,159;19,2471
0,21979;27,2085;19,2798
0,219811;27,1258;19,1268
0,219907;27,0801;19,2803
0,220183;27,0359;19,2843
0,22141;27,0755;19,3734
0,22166;26,9431;19,4553
0,222395;26,9187;19,4209
0,221616;27,0209;19,4643
0,219814;26,9569;19,5936
0,222007;27,0663;19,4856
0,22237;26,9987;19,4665
0,222824;27,0965;19,3759
0,219849;26,9876;19,4943
0,220725;27,0168;19,5199
0,220921;27,0381;19,4687
0,221033;27,0349;19,4989
0,222283;27,0652;19,6497
0,222356;26,984;19,6754
0,222155;26,9355;19,6051
0,222961;27,0474;19,5962
0,222049;26,8868;19,5483
0,222794;26,7089;19,3252
0,222813;26,7331;19,2567
0,224304;26,8582;19,3621
0,224397;26,8801;19,5105
0,224772;27,0079;19,61
0,227186;27,0836;19,8667
0,226918;27,0895;19,9054
0,224131;27,0369;19,8981
0,225078;26,9869;19,8238
0,226866;27,0379;19,7605
0,228549;27,045;19,6517
0,227856;27,0163;19,4039
0,226699;26,9738;19,3899
0,226125;27,0491;19,4764
0,226237;27,1021;19,6396
0,225912;27,0334;19,6553
0,227;27,0611;19,828
0,228231;27,0789;19,7803
0,227707;26,9423;19,8717
0,227122;26,8735;19,7623
0,226811;26,8397;19,9314
0,227114;26,8559;19,96
0,227098;26,9111;19,7298
0,227049;26,8781;19,8111
0,227104;26,8558;20,0028
0,227471;26,9125;20,0431
0,227084;26,867;19,9548
0,227282;26,9189;19,8704
0,227723;26,9631;19,9307
0,228159;26,9277;20,0619
0,229146;27,0194;20,1599
0,230239;27,0554;20,3057
0,230327;26,9674;20,3159
0,229001;26,9122;20,36
0,229067;26,9223;19,4509
0,228034;26,9073;19,5718
0,228555;26,9878;19,7822
0,226776;26,8431;19,4019
0,227009;26,8718;19,9319
0,22661;26,8197;20,0435
0,225857;26,8416;19,6845
0,224837;26,7605;19,9766
0,223864;26,804;20,096
0,222092;26,771;20,1787
0,219737;26,6962;19,5891
0,218499;26,7348;19,7872
0,218201;26,7391;19,6037
0,217639;26,6738;19,1978
0,218701;26,793;18,8763
0,218817;26,8189;18,2759
0,21859;26,8337;19,2096
0,214813;26,7804;18,9812
0,215934;26,7225;19,0705
0,215697;26,7364;19,4629
0,214953;26,705;19,3545
0,214082;26,6964;19,509
0,214822;26,7614;19,3995
0,214299;26,7863;19,1975
0,214244;26,7998;19,5038
0,21375;26,7672;19,6144
0,213555;26,7446;19,7435
0,21351;26,7379;19,6441
0,213213;26,7295;19,725
0,213362;26,7542;19,6282
0,212534;26,7222;19,755
0,211916;26,6406;19,5346
0,211899;26,6714;19,6529
0,21224;26,6708;19,8683
0,212733;26,7625;19,8699
0,212733;26,7965;20,0778
0,212427;26,7764;20,0845
0,212491;26,798;19,9267
0,212449;26,8015;20,2791
0,212235;26,7667;20,2889
0,212284;26,8048;20,1983
0,211845;26,7715;20,3849
0,211904;26,7974;20,326
0,211494;26,7674;20,3665
0,210424;26,6712;20,4858
0,210229;26,6665;20,4838
0,210543;26,7263;20,6049
0,210885;26,7944;20,6991
0,210474;26,7498;20,5674
0,210492;26,7799;20,6703
0,210643;26,7948;20,7936
0,210062;26,7335;21,0535
0,210122;26,7671;20,988
0,210171;26,7803;21,1015
0,210251;26,8102;20,9675
0,210798;26,8919;20,8479
0,21063;26,889;20,8038
0,210993;26,9537;20,3691
0,210976;26,9508;20,3407
0,210855;26,9314;20,6465
0,211094;26,969;20,6048
0,210883;26,9445;19,9651
0,210698;26,9288;20,3782
0,210754;26,9351;20,5221
0,21005;26,851;20,5923
0,210214;26,8804;20,7977
0,210698;26,9307;20,7793
0,210499;26,9025;20,7606
0,209854;26,8305;20,7418
0,209639;26,7884;21,1161
0,209255;26,7477;20,8516
0,209511;26,7811;20,8124
0,209105;26,7285;20,9507
0,208984;26,7277;20,4964
0,208743;26,7007;20,6241
0,209077;26,7218;20,2268
0,208868;26,7044;20,2951
0,208786;26,6982;20,7399
0,208301;26,6195;20,7993
0,20826;26,6194;20,5476
0,208384;26,6509;20,6469
0,20836;26,6548;20,4373
0,208297;26,6551;20,3845
0,208561;26,6888;20,1386
0,208148;26,6402;20,3071
0,208471;26,6548;20,3605
0,208057;26,6122;19,9746
0,207577;26,556;20,0182
0,207311;26,5199;20,504
0,206083;26,3666;20,6226
0,205929;26,3503;20,6119
0,205645;26,3147;20,6526
0,205628;26,3081;20,6629
0,205152;26,2465;20,8215
0,204891;26,2056;20,8655
0,204677;26,184;20,8409
0,204668;26,1883;20,8964
0,204657;26,1917;20,7674
0,205008;26,2356;20,7903
0,205437;26,2977;20,85
0,205169;26,2609;20,7526
0,205;26,2332;20,7761
0,205325;26,2645;20,7538
0,2059;26,3298;20,7398
0,206366;26,3884;20,7186
0,20634;26,383;20,7734
0,205583;26,2759;20,8604
0,205517;26,2928;20,9161
0,20549;26,2941;20,8891
0,205925;26,3528;20,8229
0,206203;26,36;20,9367
0,206491;26,3365;21,0316
0,207088;26,3789;21,0867
0,207609;26,3311;21,1153
0,210889;26,4465;21,1137
0,211223;26,4898;21,0997
0,211189;26,532;20,9078
0,211929;26,577;20,8193
0,212247;26,5645;20,6502
0,211719;26,5481;20,5586
0,212511;26,5646;20,074
0,212461;26,5343;20,6043
0,212241;26,5075;20,5565
0,21141;26,5214;20,7494
0,210784;26,524;20,5302
0,210748;26,4879;20,654
0,210451;26,5018;20,7779
0,210265;26,5575;20,8842
0,210699;26,5747;20,904
0,209858;26,5331;20,9459
0,210323;26,5484;20,9851
0,209924;26,4882;20,7229
0,210694;26,48;20,7079
0,211475;26,5288;20,5739
0,211333;26,5543;20,05
0,210977;26,504;20,208
0,210642;26,3945;20,3008
0,211192;26,3473;20,5669
0,211535;26,3414;20,5106
0,212418;26,3759;20,4977
0,212225;26,306;20,4936
0,211484;26,2314;20,3892
0,210667;26,2358;20,2726
0,210586;26,2131;20,2536
0,210213;26,1964;20,4002
0,210196;26,1967;20,4105
0,211037;26,2474;20,3854
0,211559;26,173;20,221
0,211404;26,1599;19,4589
0,210008;26,1481;19,8612
0,209419;26,1366;19,7562
0,208891;26,174;19,8416
0,208976;26,2147;19,0759
0,210772;26,2432;19,0109
0,211828;26,2352;19,5572
0,211664;26,2086;19,1299
0,211985;26,2278;19,2974
0,212129;26,1873;18,4789
0,211255;26,1491;18,7256
0,210731;26,13;19,2311
0,210016;26,0476;19,0109
0,21078;26,0419;19,1428
0,210167;26,0414;19,0986
0,2101;26,0335;19,1942
0,20966;25,9709;18,7314
0,209994;26,0109;18,4665
0,211492;26,077;18,4248
0,210218;26,018;18,0235
0,209757;25,9956;17,696
0,210373;26,0204;18,2292
0,210061;26,0113;18,3206
0,210765;25,9947;18,1399
0,210288;25,9839;18,3465
0,210608;26,0094;18,2795
0,210638;25,9871;18,2297
0,20998;25,9252;18,0081
0,21144;25,9846;18,1025
0,210994;25,921;17,8908
0,211769;25,9181;17,9154
0,211745;25,8647;17,8029
0,211846;25,8286;17,6247
0,211943;25,7966;17,525
0,211566;25,7994;17,9287
0,210735;25,7469;17,7998
0,211808;25,7657;17,8614
0,212736;25,724;18,0606
0,213021;25,7617;18,3378
0,212972;25,776;18,3401
0,212559;25,6948;18,4772
0,213188;25,6934;18,3259
0,214759;25,7446;18,8273
0,213842;25,6851;18,806
0,214357;25,7564;18,7594
0,214875;25,7288;18,9488
0,216196;25,7691;18,913
0,216586;25,7351;18,7956
0,215039;25,7334;18,9154
0,214205;25,7771;19,1046
0,214592;25,8594;19,0025
0,214957;25,8067;19,2717
0,215851;25,7927;19,3002
0,215239;25,7376;19,1966
0,214033;25,8074;19,0352
0,214864;25,8492;18,8305
0,215081;25,8388;18,9716
0,215507;25,8831;18,8507
0,215893;25,8964;18,9243
0,215064;25,9002;18,9725
0,214764;25,9152;19,3935
0,212633;25,8884;19,6429
0,212197;25,9029;19,4491
0,212978;25,9031;19,2266
0,211337;25,9043;19,2728
0,212081;25,8983;19,2573
0,212468;25,8928;19,0667
0,212294;25,8493;18,905
0,213492;25,818;18,7613
0,213583;25,8428;18,9829
0,213586;25,9247;18,8344
0,213537;25,9811;18,9932
0,213678;26,042;19,0355
0,213928;26,0465;19,1878
0,211964;26,0323;19,1231
0,212208;25,9558;19,2967
0,211887;25,9268;19,2657
0,21037;25,9372;19,1305
0,21112;25,9692;19,2415
0,211302;25,9356;19,3745
0,211477;25,901;19,1254
0,212168;25,7781;19,064
0,212988;25,8468;19,1349
0,211302;25,7965;18,8615
0,211011;25,8162;18,7262
0,21131;25,7288;18,9571
0,210436;25,6574;19,1489
0,210919;25,6629;19,0534
0,210551;25,6742;19,1359
0,211295;25,7305;19,2101
0,210905;25,7016;19,1344
0,211005;25,6586;19,102
0,210759;25,5363;18,9321
0,209665;25,5167;19,0179
0,209061;25,4936;19,2579
0,208888;25,4728;19,3442
0,209261;25,4563;19,465
0,208617;25,4401;19,419
0,208613;25,4216;19,5098
0,20834;25,4144;19,4413
0,208096;25,3853;19,3226
0,206738;25,3964;19,3626
0,20752;25,4132;19,3431
0,207564;25,4989;19,6774
0,20669;25,4963;20,0639
0,20708;25,5999;20,1716
0,206631;25,5448;20,2983
0,207364;25,6008;20,3362
0,207145;25,5945;20,2447
0,206103;25,5554;20,1638
0,204562;25,452;20,2443
0,204742;25,4702;20,6903
0,204675;25,4837;20,5231
0,20317;25,3444;20,4919
0,204051;25,507;20,5188
0,203271;25,4661;20,6884
0,203558;25,5319;20,6944
0,204859;25,6367;20,6525
0,205711;25,7379;20,5152
0,206271;25,7818;20,3597
0,205836;25,7408;20,4723
0,206386;25,8429;20,5957
0,206432;25,8405;20,6644
0,204813;25,7105;20,6826
0,204538;25,7609;20,6506
0,203109;25,6544;20,7838
0,203402;25,6753;20,7897
0,20401;25,763;20,8155
0,202971;25,6494;20,6234
0,202803;25,6262;20,7954
0,204559;25,5896;20,5201
0,207147;25,5982;20,7564
0,208494;25,6997;20,8572
0,208684;25,6639;20,7295
0,209704;25,6618;20,6191
0,209023;25,5708;20,627
0,208732;25,5154;20,1939
0,207973;25,4056;19,9893
0,208326;25,3679;20,2736
0,208141;25,3422;19,729
0,208297;25,3286;20,2545
0,208658;25,3547;20,3536
0,207591;25,1867;20,191
0,207129;25,1258;20,2506
0,206305;25,054;20,1149
0,206188;25,0062;20,2362
0,206306;25,0315;20,2945
0,205845;24,9755;19,7985
0,205858;24,9619;20,172
0,206255;24,9493;20,0897
0,205581;24,8784;19,7178
0,205905;24,9093;19,5931
0,206067;24,9297;19,3847
0,206649;25,0111;18,5948
0,206543;24,9814;18,7888
0,206594;24,98;18,2698
0,207108;25,0597;18,8405
0,206433;24,9842;18,9531
0,205989;24,9199;18,7453
0,206461;24,9216;17,9028
0,206576;24,923;17,5824
0,206204;24,9012;17,5167
